Uuid,Void/Retire,Role name,Description,Privileges,Inherited roles
${var.role.records-officer.uuid},,Records Officer,Registration and medical records,Get Patients;Add Patients;Edit Patients;Get Patient Identifiers;Add Patient Identifiers;Get Visits;Add Visits;Get Locations;Get Concepts,
${var.role.nurse.uuid},,Nurse,Triage and vitals,Get Patients;Get Visits;Add Visits;Get Encounters;Add Encounters;Edit Encounters;Get Observations;Add Observations;Get Concepts;Get Forms,
${var.role.clinician.uuid},,Clinician,Clinical consultation and ordering,Get Orders;Add Orders;Edit Orders;Get Order Types;Get Care Settings;Get Patient Programs;Add Patient Programs;Edit Patient Programs;Get Diagnoses;Edit Diagnoses,Nurse
${var.role.midwife.uuid},,Midwife,Maternal health clinical care,Get Patient Programs;Add Patient Programs;Edit Patient Programs,Nurse
${var.role.pharmacist.uuid},,Pharmacist,Dispensing and stock,Get Orders;Get Medication Dispense;Edit Medication Dispense;Get Concepts;Get Patients,
${var.role.lab-technician.uuid},,Lab Technician,Laboratory order fulfilment,Get Orders;Edit Orders;Get Encounters;Add Encounters;Get Observations;Add Observations;Get Concepts;Get Patients,
${var.role.administers-system.uuid},,Application: Administers System,Administers system,,Privilege Level: High
${var.role.manages-forms-and-attaches-them-to-the-ui.uuid},,Application: Configures Forms,Manages forms and attaches them to the UI,,Privilege Level: High
${var.role.access-to-configure-metadata-app.uuid},,Application: Configures Metadata,Access to Configure Metadata app,,Privilege Level: High
${var.role.gives-user-the-ability-to-edit-patient-encounter.uuid},,Application: Edits Existing Encounters,Gives user the ability to edit patient encounter,,Privilege Level: High
${var.role.enters-adt-events.uuid},,Application: Enters ADT Events,Enters ADT events,,Privilege Level: High
${var.role.enters-vitals.uuid},,Application: Enters Vitals,Enters vitals,,Privilege Level: High
${var.role.extends-the-underlying-system-developer-api-role.uuid},,Application: Has Super User Privileges,Extends the underlying System Developer API role,,System Developer; Privilege Level: High
${var.role.records-and-edits-allergies.uuid},,Application: Records Allergies,Records and edits allergies,,Privilege Level: High
${var.role.registers-patients.uuid},,Application: Registers Patients,Registers patients,,Privilege Level: High
${var.role.uses-patient-summary.uuid},,Application: Uses Patient Summary,Uses patient summary,,Privilege Level: High
${var.role.writes-clinical-notes.uuid},,Application: Writes Clinical Notes,Writes clinical notes,,Privilege Level: High
${var.role.doctor.uuid},,Organizational: Doctor,Doctor,,Application: Records Allergies; Application: Writes Clinical Notes; Application: Enters ADT Events; Application: Uses Patient Summary
${var.role.organizational-nurse.uuid},,Organizational: Nurse,Nurse,,Application: Records Allergies; Application: Enters ADT Events; Application: Uses Patient Summary; Application: Enters Vitals
${var.role.registration-clerk.uuid},,Organizational: Registration Clerk,Registration Clerk,,Application: Registers Patients
${var.role.system-administrator.uuid},,Organizational: System Administrator,System Administrator,,Application: Configures Forms; Application: Configures Metadata; Application: Administers System
