Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Fully specified name:es,Short name:es,Description:en,Description:es,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1100
${var.concept.national.pre-operative-diagnosis.uuid},,,Pre-Operative Diagnosis,Pre-Op Diagnosis,Diagnóstico preoperatorio,Diagnóstico preoperatorio,,,Misc,Text,,,,,,,,,,,
${var.concept.national.post-operative-diagnosis.uuid},,,Post-Operative Diagnosis,Post-Operative Diagnosis,Diagnóstico postoperatorio,Diagnóstico postoperatorio,,,Misc,Text,,,,,,,,,,,
${var.concept.national.procedure.uuid},,,Procedure,Procedure,Procedimiento,Procedimiento,,,Misc,Text,,,,,,,,,,,
${var.concept.national.assistants.uuid},,,Assistants,Assistants,Asistentes,Asistentes,,,Misc,Text,,,,,,,,,,,
${var.concept.national.general.uuid},,,General,General,General,General,,,Misc,N/A,,,,,,,,,,,
${var.concept.national.monitored-anesthesia-care.uuid},,,Monitored Anesthesia Care,MAC,Atención de anestesia supervisada,Atención de anestesia supervisada,,,Misc,N/A,,,,,,,,,,,
${var.concept.national.knee-block.uuid},,,Knee Block,Knee Block,bloque de rodilla,bloque de rodilla,,,Misc,N/A,,,,,,,,,,,
${var.concept.national.axillary-block.uuid},,,Axillary Block,Axillary Block,Bloque Axilar,Bloque Axilar,,,Misc,N/A,,,,,,,,,,,
${var.concept.national.interscalene-block.uuid},,,Interscalene Block,Interscalene Block,Bloque interescalénico,Bloque interescalénico,,,Misc,N/A,,,,,,,,,,,
${var.concept.national.intravenous-block.uuid},,,Intravenous Block,IV Block,Bloque intravenoso,bloque CI,,,Misc,N/A,,,,,,,,,,,
${var.concept.national.local-anesthesia-and-sedation.uuid},,,Local Anesthesia and Sedation,Local Anesthesia & Sedation,Anestesia local y Sedación,Anestesia local y Sedación,,,Misc,N/A,,,,,,,,,,,
${var.concept.national.local-anesthesia.uuid},,,Local Anesthesia,Local Anesthesia,Anestesia local,Anestesia local,,,Misc,N/A,,,,,,,,,,,
${var.concept.national.anesthesia-type.uuid},,,Anesthesia Type,Anesthesia Type,Tipo de anestesia,Tipo de anestesia,,,Misc,Coded,,General; Monitored Anesthesia Care; Knee Block; Axillary Block; Interscalene Block; Intravenous Block; Local anesthesia and Sedation;Local Anesthesia,,,,,,,,,
${var.concept.national.estimated-blood-loss.uuid},,,Estimated Blood Loss,EBL,Pérdida de sangre estimada,LBE,,,Misc,Numeric,,,,,mls,,,,,,
${var.concept.national.complications.uuid},,,Complications,Complications,Complicaciones,Complicaciones,,,Misc,Text,,,,,,,,,,,
${var.concept.national.specimens.uuid},,,Specimens,Spcmns,especímenes,Spcmns,,,Misc,Text,,,,,,,,,,,
${var.concept.national.drains.uuid},,,Drains,Drains,Drenajes,Drenajes,,,Misc,Text,,,,,,,,,,,
${var.concept.national.condition-upon-discharge-from-or.uuid},,,Condition upon discharge from OR,Condition upon discharge from OR,Condición al alta del quirófano,Condición al alta,,,Misc,Text,,,,,,,,,,,
${var.concept.national.surgeon.uuid},,,Surgeon,Surgeon,Cirujano,Cirujano,,,Misc,Text,,,,,,,,,,,
${var.concept.national.time-of-procedure.uuid},,,Time of Procedure,Time of Procedure,Tiempo de Procedimiento,Tiempo de Procedimiento,,,Misc,Datetime,,,,,,,,,,,
${var.concept.national.post-operative-instructions.uuid},,,Post-Operative Instructions,Post-Operative Instructions,Instrucción Post-Operatoria,Instrucción postoperatoria,,,Misc,Text,,,,,,,,,,,
