Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Same as mappings,Absolute low,Absolute high,Units
${var.concept.program.labour-delivery.uuid},,Labour and Delivery Program,L&D Program,Program concept for intrapartum care,Program,Text,,,,,
${var.concept.program.pnc.uuid},,Postnatal Care Program,PNC Program,Program concept for postnatal care,Program,Text,,,,,
${var.concept.program.family-planning.uuid},,Family Planning Program,FP Program,Program concept for family planning counselling and method continuation,Program,Text,,,,,
${var.concept.workflow.anc-status.uuid},,Antenatal Care Status,ANC Status,Workflow state of an antenatal enrolment,Workflow,Coded,"Antenatal Care Active;Delivered;Lost to Follow-up (ANC);Transferred Out (ANC)",,,,
5b7d9f01-3a2c-4e46-8f68-0a2c4e60a1b3,,Antenatal Care Active,ANC Active,Currently enrolled and attending antenatal care,State,N/A,,,,,
7d9f0123-5c4e-4068-a18a-2c4e6082c3d5,,Delivered,Delivered,Pregnancy ended in a recorded delivery,State,N/A,,,,,
9f012345-7e60-408a-c3ac-4e6082a4e5f7,,Lost to Follow-up (ANC),ANC LTFU,No antenatal contact within the defined interval,State,N/A,,,,,
b1234567-9082-40ac-e5ce-6082a4c60719,,Transferred Out (ANC),ANC Transferred,Antenatal care transferred to another facility,State,N/A,,,,,
${var.concept.ciel.workflow.fp-method.uuid},,Family Planning Status,FP Status,Workflow state of a family planning enrolment,Workflow,Coded,"On Family Planning Method;Family Planning Discontinued",,,,
d3456789-b2a4-40ce-07e0-82a4c6e8293b,,On Family Planning Method,On FP Method,Currently using a family planning method,State,N/A,,,,,
f56789ab-d4c6-40e0-2902-a4c6e80a4b5d,,Family Planning Discontinued,FP Discontinued,Method discontinued or defaulted,State,N/A,,,,,
${var.concept.mch.1st-ipt-dose.uuid},,First IPTp Dose at ANC,1st IPTp dose,First IPT dose administered at this ANC contact,Misc,N/A,,,,,
${var.concept.mch.2nd-ipt-dose.uuid},,Second IPTp Dose at ANC,2nd IPTp dose,Second IPT dose administered at this ANC contact,Misc,N/A,,,,,
${var.concept.mch.3rd-ipt-dose.uuid},,Third IPTp Dose at ANC,3rd IPTp dose,Third IPT dose administered at this ANC contact,Misc,N/A,,,,,
${var.concept.mch.4th-ipt-dose.uuid},,Fourth IPTp Dose at ANC,4th IPTp dose,Fourth IPT dose administered at this ANC contact,Misc,N/A,,,,,
${var.concept.mch.ipt-dose-administered.uuid},,IPTp Dose Administered at ANC,IPTp dose administered,IPT dose administered at this ANC contact (1st through 4th). Distinct from the national 1st/2nd/3rd+ set. Self-contained MCH answers only.,Question,Coded,${var.concept.mch.1st-ipt-dose.uuid};${var.concept.mch.2nd-ipt-dose.uuid};${var.concept.mch.3rd-ipt-dose.uuid};${var.concept.mch.4th-ipt-dose.uuid},,,,
${var.concept.mch.iptp-deferred-malaria-treatment.uuid},,Malaria treatment initiated,Malaria treatment initiated,IPT deferred because malaria treatment has been initiated,Misc,N/A,,,,,
${var.concept.mch.iptp-deferral-reason.uuid},,IPTp deferral reason,IPTp deferral reason,Reason IPT was not administered at this contact when the woman is not receiving IPT. Answer set is deliberately incomplete (one clinically approved reason) so the form leaves this question optional.,Question,Coded,${var.concept.mch.iptp-deferred-malaria-treatment.uuid},,,,
${var.concept.mch.presentation-vertex.uuid},,Vertex Presentation at ANC,Vertex presentation,Fetal presentation answer: vertex,Misc,N/A,,,,,
${var.concept.mch.presentation-breech.uuid},,Breech Presentation at ANC,Breech presentation,Fetal presentation answer: breech,Misc,N/A,,,,,
${var.concept.mch.presentation-transverse.uuid},,Transverse Presentation at ANC,Transverse presentation,Fetal presentation answer: transverse,Misc,N/A,,,,,
${var.concept.mch.presentation-oblique.uuid},,Oblique Presentation at ANC,Oblique presentation,Fetal presentation answer: oblique,Misc,N/A,,,,,
${var.concept.mch.presentation-other.uuid},,Other Fetal Presentation at ANC,Other presentation,Fetal presentation answer: other,Misc,N/A,,,,,
${var.concept.mch.fetal-presentation.uuid},,Fetal Presentation at ANC,Fetal presentation,Fetal presentation at this ANC contact. Local MCH value set standing in for approved CIEL 160090 while 160090 is absent from the subscribed LIB/mch collection (it exists in CIEL). Answer CIEL IDs not invented. Same-as mapping omitted because no CIEL concept source is declared in this dictionary.,Question,Coded,${var.concept.mch.presentation-vertex.uuid};${var.concept.mch.presentation-breech.uuid};${var.concept.mch.presentation-transverse.uuid};${var.concept.mch.presentation-oblique.uuid};${var.concept.mch.presentation-other.uuid},,,,
${var.concept.mch.health-card-issue-date.uuid},,Pregnant Woman Health Card Issue Date,Health card issue date,Date the Pregnant Woman Health Card was issued,Question,Date,,,,,
${var.concept.partograph.cervical-dilation.uuid},,Cervical Dilation,Cx Dilation,Cervical dilation in centimetres,Finding,Numeric,,,0,10,cm
${var.concept.partograph.descent-of-head.uuid},,Descent of Fetal Head,Descent,Descent of the fetal head in fifths palpable above the brim,Finding,Numeric,,,0,5,fifths
${var.concept.partograph.contractions-per-10min.uuid},,Uterine Contractions per 10 Minutes,Contractions/10min,Number of uterine contractions in a ten-minute window,Finding,Numeric,,,0,10,contractions
${var.concept.partograph.contraction-duration.uuid},,Uterine Contraction Duration,Contraction Duration,Mean duration of a uterine contraction,Finding,Numeric,,,0,180,seconds
${var.concept.partograph.amniotic-fluid.uuid},,Amniotic Fluid Character,Amniotic Fluid,Character of the amniotic fluid on examination,Finding,Coded,"Membranes Intact;Clear Liquor;Meconium Stained Liquor;Blood Stained Liquor;Absent Liquor",,,,
${var.concept.partograph.membranes-intact.uuid},,Membranes Intact,Membranes Intact,Amniotic membranes are intact,State,N/A,,,,,
${var.concept.partograph.clear-liquor.uuid},,Clear Liquor,Clear Liquor,Amniotic fluid is clear,State,N/A,,,,,
${var.concept.partograph.meconium-liquor.uuid},,Meconium Stained Liquor,Meconium Liquor,Amniotic fluid is meconium stained,State,N/A,,,,,
${var.concept.partograph.blood-liquor.uuid},,Blood Stained Liquor,Blood Liquor,Amniotic fluid is blood stained,State,N/A,,,,,
${var.concept.partograph.absent-liquor.uuid},,Absent Liquor,Absent Liquor,Amniotic fluid is absent,State,N/A,,,,,
